============================================================
LINKS LENS - MASS SEED CREDENTIALS
============================================================

MASTER ACCOUNTS:
Email: admin@linkslens.com       | Password: o4LU6t$pGKGhEXZP
Email: mod1@linkslens.com        | Password: X4tFpfErsT*ETWdI
Email: mod2@linkslens.com        | Password: msqb2&RsN5%18pn1
Email: user1@gmail.com           | Password: ##3NQwuNGFL3EepW
Email: user2@gmail.com           | Password: bL86S70^5WW&yJNj

RANDOMLY GENERATED DUMMY ACCOUNTS:
------------------------------------------------------------
Email: madison43@example.com     | Password: weTRxuPG0*TtZer9
Email: santiagoalexis@example.org | Password: 0%int114VX!X*Way
Email: davidroach@example.com    | Password: gs6f!hb4RGDz5w^H
Email: umorgan@example.com       | Password: w15q&Qn*@0C!H5Rx
Email: uallen@example.com        | Password: i!#531dVLlp!^*ab
Email: ruizcalvin@example.org    | Password: KBvzTpHB!GGV9b7Q
Email: kaitlyn15@example.org     | Password: 35Ttl$dYNmp9@n6!
Email: claytonwendy@example.org  | Password: 6%C22BkfCSLx&CZ#
Email: makaylasmith@example.net  | Password: 4KA50vbP5v91@6vH
Email: reginafowler@example.com  | Password: yXruBHR9H^ELRZOZ
Email: vpaul@example.net         | Password: aB7J^I$sVWM1@&TT
Email: kevingriffin@example.com  | Password: *K0LvrNuOgMoEy&@
Email: smartin@example.com       | Password: OWFBSjr6hlS*mg4%
Email: spencermichelle@example.org | Password: V*c%4@Iby4cIfTk9
Email: downsdaryl@example.net    | Password: ^TGoiuo5gT&I7QPh
Email: steve82@example.net       | Password: Yq*68!hRX*4f7pAr
Email: michaeljoyce@example.net  | Password: d1xYhYqdldt%RxU#
Email: craigaaron@example.net    | Password: EgKmxFM%9*JxAvoz
Email: lesliepatel@example.org   | Password: rxY&XGYiJsLJ4ZdE
Email: xjones@example.net        | Password: mM3#bs%AiA48Yh3S
Email: williamsheather@example.com | Password: 69gOKDj^akv!SkjG
Email: jeremy97@example.net      | Password: 34Zlz@q49DNUE6no
Email: juliajohnston@example.net | Password: uU2cl@uFzSi9lDs&
Email: yjuarez@example.com       | Password: AehvDyoxc#F4GUY9
Email: alan48@example.org        | Password: CFY7&l#bmRQrPVh!
Email: tiffanycantu@example.org  | Password: nWnrtve#ECho3fOQ
